TimeTag,LeftEyeX,LeftEyeY,LeftPupilDiameter,RightEyeX,RightEyeY,RightPupilDiameter,DigitalIn,LeftBlink,RightBlink,DigitalOut,LeftEyeFixationFlag,RightEyeFixationFlag,LeftEyeSaccadeFlag,RightEyeSaccadeFlag,MessageCode,LeftEyeRawX,LeftEyeRawY,RightEyeRawX,RightEyeRawY
12910.00750002,0,0,80.21875,0,0,79.1953125,16777215,0,0,0,1,1,0,0,0,-16.89208984375,-4.0966796875,-14.68798828125,-2.153564453125
12910.00800002,0,0,80.23046875,0,0,79.15625,16777215,0,0,0,1,1,0,0,0,-16.88720703125,-4.097412109375,-14.669189453125,-2.14013671875
12910.00850002,0,0,80.2578125,0,0,79.16015625,16777215,0,0,0,1,1,0,0,0,-16.8896484375,-4.104248046875,-14.655517578125,-2.1220703125
12910.00900002,0,0,80.265625,0,0,79.2421875,16777215,0,0,0,1,1,0,0,0,-16.896728515625,-4.10595703125,-14.66748046875,-2.176025390625
12910.00950002,0,0,80.26171875,0,0,79.22265625,16777215,0,0,0,1,1,0,0,0,-16.892578125,-4.104736328125,-14.663818359375,-2.159423828125
12910.01000002,0,0,80.26953125,0,0,79.20703125,16777215,0,0,0,1,1,0,0,0,-16.897216796875,-4.104248046875,-14.6669921875,-2.149169921875
12910.01050002,0,0,80.28515625,0,0,79.1875,16777215,0,0,0,1,1,0,0,0,-16.897216796875,-4.1103515625,-14.656982421875,-2.133544921875
12910.01100002,0,0,80.28125,0,0,79.171875,16777215,0,0,0,1,1,0,0,0,-16.8876953125,-4.1123046875,-14.6591796875,-2.120849609375
12910.01150002,0,0,80.296875,0,0,79.16796875,16777215,0,0,0,1,1,0,0,0,-16.883056640625,-4.105712890625,-14.66796875,-2.111328125
12910.01200002,0,0,80.29296875,0,0,79.1640625,16777215,0,0,0,1,1,0,0,0,-16.8837890625,-4.10986328125,-14.66357421875,-2.098388671875
12910.01250002,0,0,80.32421875,0,0,79.15625,16777215,0,0,0,1,1,0,0,0,-16.873291015625,-4.11279296875,-14.64794921875,-2.083984375
12910.01300002,0,0,80.30078125,0,0,79.1484375,16777215,0,0,0,1,1,0,0,0,-16.86328125,-4.126953125,-14.638671875,-2.074462890625
